year,CIK,company name,CRE,COM,CUM,COL,number of words item 7,number of words
2012,0001539447,LUCY'S WATER WORLD INC,13,17,5,5,704,8008
2013,0000836429,SYNERGETICS USA INC,22,51,13,13,1144,78174
2012,0001506385,"OnTarget360 Group, Inc",12,77,17,13,1618,12459
2012,0000805305,QUIKSILVER INC,5,7,0,4,224,35793
2013,0001506270,"RIGHTSCORP, INC",5,7,0,4,224,20060
2013,0001547521,"Engage Mobility, Inc",25,69,22,14,1655,13931
2013,0001410253,Urban Barns Foods Inc,13,38,25,22,2016,19824
2012,0001031896,AMERICAN SOIL TECHNOLOGIES INC,4,14,0,3,338,13633
2012,0001482179,"Sur Ventures, Inc",11,45,6,3,1486,15198
2013,0001437750,Sync2 Networks Corp,1,11,1,0,355,12432
2012,0001136463,FIRST CORP /CN,14,39,24,33,1796,13233
2013,0001508348,"Nevada Health Scan, Inc",3,3,1,2,76,11641
2013,0001371534,Gold Dynamics Corp,8,11,0,2,443,8608
2012,0001435508,First Savings Financial Group Inc,17,36,17,14,1471,42909
2013,0001066026,CONCUR TECHNOLOGIES INC,17,31,16,4,862,42753
2008,0001124019,GLOBAL WINE CO,26,50,12,13,2144,47619
2012,0001173281,Ohr Pharmaceutical Inc,13,17,4,8,803,25115
2010,0001001463,"Acacia Diversified Holdings, Inc",0,1,0,0,11,28328
2013,0000775158,OSHKOSH CORP,27,155,7,36,4466,60109
2013,0001410708,Emo Capital Corp,5,65,4,10,1214,10252
2013,0001576778,"UBL Interactive,Inc",17,57,15,12,2257,45584
2013,0001415432,AMERICAN SIERRA GOLD CORP,32,77,21,34,3134,16899
2012,0001133062,JANEL WORLD TRADE LTD,48,172,22,24,4129,22164
2013,0001416090,INCEPTION MINING INC,48,172,22,24,4129,28436
2013,0000830916,MULTI FINELINE ELECTRONIX INC,18,62,14,15,1854,36164
2013,0001532828,"Trio Resources, Inc",3,7,0,4,599,23503
2012,0001421538,"ABSOLUTE LIFE SOLUTIONS, INC",6,8,2,5,206,34146
2012,0001157817,SINGLE TOUCH SYSTEMS INC,17,41,11,9,1169,54403
2013,0000868857,AECOM TECHNOLOGY CORP,5,77,16,6,944,40818
2013,0001415305,First Liberty Power Corp,17,44,6,6,1613,29445
2013,0001582244,Corning Natural Gas Holding Corp,9,39,0,9,848,19954
2012,0001421981,Psychic Friends Network Inc,14,47,11,26,1886,10313
2011,0001090514,AMERICAN ORIENTAL BIOENGINEERING INC,35,73,36,28,2577,52464
2013,0001502966,"DigiPath,Inc",0,1,0,0,28,17339
2013,0001503538,IPOWorld,3,12,0,0,513,13097
2013,0001446896,"Alternative Energy Partners, Inc",3,9,7,2,279,17363
2012,0001539447,LUCY'S WATER WORLD INC,13,17,5,5,704,8008
2012,0001411179,"Red Giant Entertainment, Inc",17,49,6,14,1938,14967
2012,0001157817,SINGLE TOUCH SYSTEMS INC,17,41,11,9,1169,54403
2013,0001561399,"Stalar 5, Inc",3,11,4,1,418,8297
2013,0001543367,"Meetinghouse Bancorp, Inc",100,89,56,54,6094,34192
2012,0001031093,"SILVER BULL RESOURCES, INC",52,108,48,38,5219,31223
2013,0000731802,ATMOS ENERGY CORP,27,15,4,2,614,47453
2012,0000023503,CONOLOG CORP,0,1,0,0,11,23421
2012,0001308710,"Jayhawk Energy, Inc",6,5,1,0,165,25298
2013,0001383414,PENNANTPARK INVESTMENT CORP,31,200,53,24,4129,67891
2013,0001528930,"JTH Holding, Inc",25,77,9,49,3568,87125
2012,0001454725,"Mainstream Entertainment, Inc",2,17,4,10,687,27477
2013,0001534629,"Accelerated Acquisition XVII, Inc",11,36,5,6,957,8158
2012,0001126703,Shoshone Silver/Gold Mining Co,12,35,18,9,5659,19673
2012,0001413909,BOREAL PRODUCTIONS INC,19,26,1,10,1071,8959
2013,0001534628,INFINITY REAL ESTATE HOLDINGS Corp,11,36,5,6,957,11396
2012,0001411179,"Red Giant Entertainment, Inc",17,49,6,14,1938,14967
2012,0000810136,PHOTRONICS INC,45,168,44,57,6109,28739
2012,0001419582,BLUE SPHERE CORP,15,39,11,7,1468,161672
2013,0001020859,UNITED NATURAL FOODS INC,6,63,10,3,1013,47387
2013,0001415744,NORTHERN MINERALS & EXPLORATION LTD,0,13,15,6,510,20930
